day,temp_day,temp_night
01.01.2024,5,-2
02.01.2024,6,-2
03.01.2024,1,-4
04.01.2024,2,-3
05.01.2024,7,0
06.01.2024,5,2
07.01.2024,6,1
08.01.2024,5,2
09.01.2024,4,2
10.01.2024,4,3
11.01.2024,7,3
12.01.2024,5,0
13.01.2024,0,-4
14.01.2024,1,-3
15.01.2024,0,-3
16.01.2024,-1,-3
17.01.2024,0,-3
18.01.2024,1,-1
19.01.2024,0,-2
20.01.2024,0,-3
21.01.2024,-3,-5
22.01.2024,-1,-4
23.01.2024,1,-3
24.01.2024,-7,-8
25.01.2024,-4,-9
26.01.2024,-4,-5
27.01.2024,1,-2
28.01.2024,-1,-4
29.01.2024,-1,-5
30.01.2024,0,-3
31.01.2024,0,-3
01.02.2024,-2,-2
02.02.2024,-1,-3
03.02.2024,-2,-5
04.02.2024,-5,-7
